Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
73,Entrada en corto,2026-05-19 22:40,Scripted Short,1.16095,1,145118.75,56.25,0.04,150,0.10,-137.5,-0.09,2943.75,29.44,136
74,Salida en largo,2026-05-20 14:25,Scripted Exit All,1.16395,1,145356.25,137.5,0.09,387.5,0.27,-87.5,-0.06,3081.25,30.81,49
74,Entrada en largo,2026-05-20 10:20,Scripted Long,1.16285,1,145356.25,137.5,0.09,387.5,0.27,-87.5,-0.06,3081.25,30.81,49
75,Salida en largo,2026-05-26 03:05,Scripted Short,1.16395,1,145725,-231.25,-0.16,81.25,0.06,-250,-0.17,2850,28.50,351
75,Entrada en largo,2026-05-24 20:50,Scripted Long,1.1658,1,145725,-231.25,-0.16,81.25,0.06,-250,-0.17,2850,28.50,351
76,Salida en corto,2026-05-26 11:20,Scripted Exit All,1.1631,1,145493.75,106.25,0.07,143.75,0.10,-206.25,-0.14,2956.25,29.56,99
76,Entrada en corto,2026-05-26 03:05,Scripted Short,1.16395,1,145493.75,106.25,0.07,143.75,0.10,-206.25,-0.14,2956.25,29.56,99
77,Salida en largo,2026-05-27 01:05,Scripted Exit All,1.16535,1,145612.5,56.25,0.04,62.5,0.04,-75,-0.05,3012.5,30.13,58
77,Entrada en largo,2026-05-26 20:15,Scripted Long,1.1649,1,145612.5,56.25,0.04,62.5,0.04,-75,-0.05,3012.5,30.13,58
78,Salida en largo,2026-05-27 08:35,Scripted Exit All,1.1667,1,145706.25,131.25,0.09,187.5,0.13,-162.5,-0.11,3143.75,31.44,70
78,Entrada en largo,2026-05-27 02:45,Scripted Long,1.16565,1,145706.25,131.25,0.09,187.5,0.13,-162.5,-0.11,3143.75,31.44,70
79,Salida en largo,2026-05-28 08:45,Scripted Exit All,1.16415,1,145331.25,187.5,0.13,206.25,0.14,-25,-0.02,3331.25,33.31,10
79,Entrada en largo,2026-05-28 07:55,Scripted Long,1.16265,1,145331.25,187.5,0.13,206.25,0.14,-25,-0.02,3331.25,33.31,10
80,Salida en largo,2026-05-28 12:35,Scripted Exit All,1.16675,1,145687.5,156.25,0.11,193.75,0.13,-50,-0.03,3487.5,34.88,28
80,Entrada en largo,2026-05-28 10:15,Scripted Long,1.1655,1,145687.5,156.25,0.11,193.75,0.13,-50,-0.03,3487.5,34.88,28
81,Salida en largo,2026-05-29 11:15,Scripted Exit All,1.16845,1,145775,281.25,0.19,306.25,0.21,0,0.00,3768.75,37.69,5
